Mortgage monthly repayments,dollars,%,Suburb
Households where mortgage repayments are less than 30% of household income,--,94.8,Seddon - Kingsville
Households with mortgage repayments greater than 30% of household income,--,5.2,Seddon - Kingsville
Median mortgage repayments,"1,950",--,West Footscray - Tottenham
Households where mortgage repayments are less than 30% of household income,--,93.9,West Footscray - Tottenham
Households with mortgage repayments greater than 30% of household income,--,6.1,West Footscray - Tottenham
Median mortgage repayments,"2,167",--,Yarraville
Households where mortgage repayments are less than 30% of household income,--,94.0,Yarraville
Households with mortgage repayments greater than 30% of household income,--,6.0,Yarraville
Median mortgage repayments,"1,600",--,Bacchus Marsh
Households where mortgage repayments are less than 30% of household income,--,91.8,Bacchus Marsh
Households with mortgage repayments greater than 30% of household income,--,8.2,Bacchus Marsh
Median mortgage repayments,"1,900",--,Hillside
Households where mortgage repayments are less than 30% of household income,--,85.0,Hillside
Households with mortgage repayments greater than 30% of household income,--,15.0,Hillside
Median mortgage repayments,"1,385",--,Melton
Households where mortgage repayments are less than 30% of household income,--,90.6,Melton
Households with mortgage repayments greater than 30% of household income,--,9.4,Melton
Median mortgage repayments,"1,517",--,Melton South
Households where mortgage repayments are less than 30% of household income,--,90.5,Melton South
Households with mortgage repayments greater than 30% of household income,--,9.5,Melton South
Median mortgage repayments,"1,517",--,Melton West
Households where mortgage repayments are less than 30% of household income,--,89.6,Melton West
Households with mortgage repayments greater than 30% of household income,--,10.4,Melton West
Median mortgage repayments,"1,300",--,Rockbank - Mount Cottrell
Households where mortgage repayments are less than 30% of household income,--,91.2,Rockbank - Mount Cottrell
Households with mortgage repayments greater than 30% of household income,--,8.8,Rockbank - Mount Cottrell
Median mortgage repayments,"2,000",--,Taylors Hill
Households where mortgage repayments are less than 30% of household income,--,83.4,Taylors Hill
Households with mortgage repayments greater than 30% of household income,--,16.6,Taylors Hill
Median mortgage repayments,"1,733",--,Burnside
Households where mortgage repayments are less than 30% of household income,--,86.3,Burnside
Households with mortgage repayments greater than 30% of household income,--,13.7,Burnside
Median mortgage repayments,"2,000",--,Burnside Heights
Households where mortgage repayments are less than 30% of household income,--,80.4,Burnside Heights
Households with mortgage repayments greater than 30% of household income,--,19.6,Burnside Heights
Median mortgage repayments,"1,950",--,Caroline Springs
Households where mortgage repayments are less than 30% of household income,--,86.7,Caroline Springs
Households with mortgage repayments greater than 30% of household income,--,13.3,Caroline Springs
Median mortgage repayments,"1,500",--,Hoppers Crossing - North
Households where mortgage repayments are less than 30% of household income,--,90.5,Hoppers Crossing - North
Households with mortgage repayments greater than 30% of household income,--,9.5,Hoppers Crossing - North
Median mortgage repayments,"1,404",--,Hoppers Crossing - South
Households where mortgage repayments are less than 30% of household income,--,92.7,Hoppers Crossing - South
Households with mortgage repayments greater than 30% of household income,--,7.3,Hoppers Crossing - South
Median mortgage repayments,"1,900",--,Laverton
Households where mortgage repayments are less than 30% of household income,--,91.0,Laverton
Households with mortgage repayments greater than 30% of household income,--,9.0,Laverton
Median mortgage repayments,"1,820",--,Tarneit
Households where mortgage repayments are less than 30% of household income,--,84.9,Tarneit
Households with mortgage repayments greater than 30% of household income,--,15.1,Tarneit
Median mortgage repayments,"1,846",--,Truganina
Households where mortgage repayments are less than 30% of household income,--,82.7,Truganina
Households with mortgage repayments greater than 30% of household income,--,17.3,Truganina
Median mortgage repayments,"1,557",--,Werribee - South
Households where mortgage repayments are less than 30% of household income,--,95.1,Werribee - South
Households with mortgage repayments greater than 30% of household income,--,4.9,Werribee - South
Median mortgage repayments,"1,600",--,Wyndham Vale
Households where mortgage repayments are less than 30% of household income,--,87.4,Wyndham Vale
Households with mortgage repayments greater than 30% of household income,--,12.6,Wyndham Vale
Median mortgage repayments,"2,167",--,Point Cook - East
Households where mortgage repayments are less than 30% of household income,--,89.3,Point Cook - East
Households with mortgage repayments greater than 30% of household income,--,10.7,Point Cook - East
Median mortgage repayments,"1,915",--,Point Cook - North
Households where mortgage repayments are less than 30% of household income,--,87.8,Point Cook - North
Households with mortgage repayments greater than 30% of household income,--,12.2,Point Cook - North
Median mortgage repayments,"2,048",--,Point Cook - South
Households where mortgage repayments are less than 30% of household income,--,86.3,Point Cook - South
Households with mortgage repayments greater than 30% of household income,--,13.7,Point Cook - South
Median mortgage repayments,"1,387",--,Werribee - East
Households where mortgage repayments are less than 30% of household income,--,92.8,Werribee - East
Households with mortgage repayments greater than 30% of household income,--,7.2,Werribee - East
Median mortgage repayments,"1,500",--,Werribee - West
Households where mortgage repayments are less than 30% of household income,--,91.9,Werribee - West
Households with mortgage repayments greater than 30% of household income,--,8.1,Werribee - West
Median mortgage repayments,"1,517",--,Carrum Downs
Households where mortgage repayments are less than 30% of household income,--,89.1,Carrum Downs
Households with mortgage repayments greater than 30% of household income,--,10.9,Carrum Downs
Median mortgage repayments,"1,517",--,Frankston
Households where mortgage repayments are less than 30% of household income,--,94.2,Frankston
Households with mortgage repayments greater than 30% of household income,--,5.8,Frankston
Median mortgage repayments,"1,340",--,Frankston North
Households where mortgage repayments are less than 30% of household income,--,93.8,Frankston North
Households with mortgage repayments greater than 30% of household income,--,6.2,Frankston North
Median mortgage repayments,"1,950",--,Frankston South
Households where mortgage repayments are less than 30% of household income,--,92.6,Frankston South
Households with mortgage repayments greater than 30% of household income,--,7.4,Frankston South
Median mortgage repayments,"1,720",--,Langwarrin
Households where mortgage repayments are less than 30% of household income,--,90.3,Langwarrin
Households with mortgage repayments greater than 30% of household income,--,9.7,Langwarrin
Median mortgage repayments,"1,600",--,Seaford (Vic.)
Households where mortgage repayments are less than 30% of household income,--,93.1,Seaford (Vic.)
Households with mortgage repayments greater than 30% of household income,--,6.9,Seaford (Vic.)
Median mortgage repayments,"1,867",--,Skye - Sandhurst
Households where mortgage repayments are less than 30% of household income,--,89.0,Skye - Sandhurst
Households with mortgage repayments greater than 30% of household income,--,11.0,Skye - Sandhurst
Median mortgage repayments,"1,733",--,Dromana
Households where mortgage repayments are less than 30% of household income,--,93.0,Dromana
Households with mortgage repayments greater than 30% of household income,--,7.0,Dromana
Median mortgage repayments,"2,000",--,Flinders
Households where mortgage repayments are less than 30% of household income,--,93.5,Flinders
Households with mortgage repayments greater than 30% of household income,--,6.5,Flinders
Median mortgage repayments,"1,573",--,Hastings - Somers
Households where mortgage repayments are less than 30% of household income,--,92.3,Hastings - Somers
Households with mortgage repayments greater than 30% of household income,--,7.7,Hastings - Somers
Median mortgage repayments,"1,733",--,Mornington
Households where mortgage repayments are less than 30% of household income,--,93.7,Mornington
Households with mortgage repayments greater than 30% of household income,--,6.3,Mornington
Median mortgage repayments,"2,200",--,Mount Eliza
Households where mortgage repayments are less than 30% of household income,--,91.7,Mount Eliza
Households with mortgage repayments greater than 30% of household income,--,8.3,Mount Eliza
Median mortgage repayments,"2,000",--,Mount Martha
Households where mortgage repayments are less than 30% of household income,--,91.5,Mount Martha
Households with mortgage repayments greater than 30% of household income,--,8.5,Mount Martha
Median mortgage repayments,"1,635",--,Point Nepean
Households where mortgage repayments are less than 30% of household income,--,92.3,Point Nepean
Households with mortgage repayments greater than 30% of household income,--,7.7,Point Nepean
Median mortgage repayments,"1,517",--,Rosebud - McCrae
Households where mortgage repayments are less than 30% of household income,--,94.4,Rosebud - McCrae
Households with mortgage repayments greater than 30% of household income,--,5.6,Rosebud - McCrae
Median mortgage repayments,"1,600",--,Somerville
Households where mortgage repayments are less than 30% of household income,--,90.5,Somerville
Households with mortgage repayments greater than 30% of household income,--,9.5,Somerville
Median mortgage repayments,"1,066",--,Ararat
Households where mortgage repayments are less than 30% of household income,--,95.9,Ararat
Households with mortgage repayments greater than 30% of household income,--,4.1,Ararat
Median mortgage repayments,975,--,Ararat Region
Households where mortgage repayments are less than 30% of household income,--,95.5,Ararat Region
Households with mortgage repayments greater than 30% of household income,--,4.5,Ararat Region
Median mortgage repayments,"1,200",--,Horsham
Households where mortgage repayments are less than 30% of household income,--,95.0,Horsham
Households with mortgage repayments greater than 30% of household income,--,5.0,Horsham
Median mortgage repayments,"1,100",--,Horsham Region
Households where mortgage repayments are less than 30% of household income,--,94.2,Horsham Region
Households with mortgage repayments greater than 30% of household income,--,5.8,Horsham Region
Median mortgage repayments,758,--,Nhill Region
Households where mortgage repayments are less than 30% of household income,--,97.4,Nhill Region
Households with mortgage repayments greater than 30% of household income,--,2.6,Nhill Region
Median mortgage repayments,867,--,St Arnaud
Households where mortgage repayments are less than 30% of household income,--,96.2,St Arnaud
Households with mortgage repayments greater than 30% of household income,--,3.8,St Arnaud
Median mortgage repayments,"1,000",--,Stawell
Households where mortgage repayments are less than 30% of household income,--,96.1,Stawell
Households with mortgage repayments greater than 30% of household income,--,3.9,Stawell
Median mortgage repayments,737,--,West Wimmera
Households where mortgage repayments are less than 30% of household income,--,96.5,West Wimmera
Households with mortgage repayments greater than 30% of household income,--,3.5,West Wimmera
Median mortgage repayments,662,--,Yarriambiack
Households where mortgage repayments are less than 30% of household income,--,97.0,Yarriambiack
Households with mortgage repayments greater than 30% of household income,--,3.0,Yarriambiack
Median mortgage repayments,"1,311",--,Irymple
Households where mortgage repayments are less than 30% of household income,--,93.5,Irymple
Households with mortgage repayments greater than 30% of household income,--,6.5,Irymple
Median mortgage repayments,"1,083",--,Merbein
Households where mortgage repayments are less than 30% of household income,--,93.0,Merbein
Households with mortgage repayments greater than 30% of household income,--,7.0,Merbein
Median mortgage repayments,900,--,Mildura Region
Households where mortgage repayments are less than 30% of household income,--,95.7,Mildura Region
Households with mortgage repayments greater than 30% of household income,--,4.3,Mildura Region
Median mortgage repayments,"1,083",--,Red Cliffs
Households where mortgage repayments are less than 30% of household income,--,94.0,Red Cliffs
Households with mortgage repayments greater than 30% of household income,--,6.0,Red Cliffs
Median mortgage repayments,"1,127",--,Mildura - North
Households where mortgage repayments are less than 30% of household income,--,96.3,Mildura - North
Households with mortgage repayments greater than 30% of household income,--,3.7,Mildura - North
Median mortgage repayments,"1,300",--,Mildura - South
Households where mortgage repayments are less than 30% of household income,--,95.3,Mildura - South
Households with mortgage repayments greater than 30% of household income,--,4.7,Mildura - South
Median mortgage repayments,693,--,Buloke
Households where mortgage repayments are less than 30% of household income,--,97.2,Buloke
Households with mortgage repayments greater than 30% of household income,--,2.8,Buloke
Median mortgage repayments,997,--,Gannawarra
Households where mortgage repayments are less than 30% of household income,--,95.0,Gannawarra
Households with mortgage repayments greater than 30% of household income,--,5.0,Gannawarra
Median mortgage repayments,975,--,Kerang
Households where mortgage repayments are less than 30% of household income,--,96.3,Kerang
Households with mortgage repayments greater than 30% of household income,--,3.7,Kerang
Median mortgage repayments,"1,083",--,Robinvale
Households where mortgage repayments are less than 30% of household income,--,96.1,Robinvale
Households with mortgage repayments greater than 30% of household income,--,3.9,Robinvale
Median mortgage repayments,"1,285",--,Swan Hill
Households where mortgage repayments are less than 30% of household income,--,95.9,Swan Hill
Households with mortgage repayments greater than 30% of household income,--,4.1,Swan Hill
Median mortgage repayments,980,--,Swan Hill Region
Households where mortgage repayments are less than 30% of household income,--,94.2,Swan Hill Region
Households with mortgage repayments greater than 30% of household income,--,5.8,Swan Hill Region
Median mortgage repayments,"1,387",--,Echuca
Households where mortgage repayments are less than 30% of household income,--,94.6,Echuca
Households with mortgage repayments greater than 30% of household income,--,5.4,Echuca
Median mortgage repayments,"1,300",--,Kyabram
Households where mortgage repayments are less than 30% of household income,--,93.9,Kyabram
Households with mortgage repayments greater than 30% of household income,--,6.1,Kyabram
Median mortgage repayments,"1,253",--,Lockington - Gunbower
Households where mortgage repayments are less than 30% of household income,--,93.1,Lockington - Gunbower
Households with mortgage repayments greater than 30% of household income,--,6.9,Lockington - Gunbower
Median mortgage repayments,"1,192",--,Rochester
Households where mortgage repayments are less than 30% of household income,--,94.5,Rochester
Households with mortgage repayments greater than 30% of household income,--,5.5,Rochester
Median mortgage repayments,"1,000",--,Rushworth
Households where mortgage repayments are less than 30% of household income,--,93.9,Rushworth
Households with mortgage repayments greater than 30% of household income,--,6.1,Rushworth
Median mortgage repayments,"1,300",--,Cobram
Households where mortgage repayments are less than 30% of household income,--,95.6,Cobram
Households with mortgage repayments greater than 30% of household income,--,4.4,Cobram
Median mortgage repayments,"1,200",--,Moira
Households where mortgage repayments are less than 30% of household income,--,93.1,Moira
Households with mortgage repayments greater than 30% of household income,--,6.9,Moira
Median mortgage repayments,"1,105",--,Numurkah
Households where mortgage repayments are less than 30% of household income,--,94.0,Numurkah
Households with mortgage repayments greater than 30% of household income,--,6.0,Numurkah
Median mortgage repayments,"1,343",--,Yarrawonga
Households where mortgage repayments are less than 30% of household income,--,95.6,Yarrawonga
Households with mortgage repayments greater than 30% of household income,--,4.4,Yarrawonga
Median mortgage repayments,"1,200",--,Mooroopna
Households where mortgage repayments are less than 30% of household income,--,94.9,Mooroopna
Households with mortgage repayments greater than 30% of household income,--,5.1,Mooroopna
Median mortgage repayments,"1,333",--,Shepparton - North
Households where mortgage repayments are less than 30% of household income,--,95.1,Shepparton - North
Households with mortgage repayments greater than 30% of household income,--,4.9,Shepparton - North
Median mortgage repayments,"1,300",--,Shepparton - South
Households where mortgage repayments are less than 30% of household income,--,93.6,Shepparton - South
Households with mortgage repayments greater than 30% of household income,--,6.4,Shepparton - South
Median mortgage repayments,"1,300",--,Shepparton Region - East
Households where mortgage repayments are less than 30% of household income,--,94.0,Shepparton Region - East
Households with mortgage repayments greater than 30% of household income,--,6.0,Shepparton Region - East
Median mortgage repayments,"1,300",--,Shepparton Region - West
Households where mortgage repayments are less than 30% of household income,--,93.1,Shepparton Region - West
Households with mortgage repayments greater than 30% of household income,--,6.9,Shepparton Region - West
Median mortgage repayments,"1,083",--,Glenelg (Vic.)
Households where mortgage repayments are less than 30% of household income,--,95.4,Glenelg (Vic.)
Households with mortgage repayments greater than 30% of household income,--,4.6,Glenelg (Vic.)
Median mortgage repayments,"1,083",--,Hamilton (Vic.)
Households where mortgage repayments are less than 30% of household income,--,96.4,Hamilton (Vic.)
Households with mortgage repayments greater than 30% of household income,--,3.6,Hamilton (Vic.)
Median mortgage repayments,"1,200",--,Portland
Households where mortgage repayments are less than 30% of household income,--,95.2,Portland
Households with mortgage repayments greater than 30% of household income,--,4.8,Portland
Median mortgage repayments,867,--,Southern Grampians
Households where mortgage repayments are less than 30% of household income,--,95.5,Southern Grampians
Households with mortgage repayments greater than 30% of household income,--,4.5,Southern Grampians
Median mortgage repayments,"1,083",--,Camperdown
Households where mortgage repayments are less than 30% of household income,--,95.2,Camperdown
Households with mortgage repayments greater than 30% of household income,--,4.8,Camperdown
Median mortgage repayments,"1,270",--,Colac
Households where mortgage repayments are less than 30% of household income,--,94.9,Colac
Households with mortgage repayments greater than 30% of household income,--,5.1,Colac
Median mortgage repayments,"1,300",--,Colac Region
Households where mortgage repayments are less than 30% of household income,--,90.7,Colac Region
Households with mortgage repayments greater than 30% of household income,--,9.3,Colac Region
Median mortgage repayments,"1,000",--,Corangamite - North
Households where mortgage repayments are less than 30% of household income,--,95.5,Corangamite - North
Households with mortgage repayments greater than 30% of household income,--,4.5,Corangamite - North
Median mortgage repayments,"1,200",--,Corangamite - South
Households where mortgage repayments are less than 30% of household income,--,93.9,Corangamite - South
Households with mortgage repayments greater than 30% of household income,--,6.1,Corangamite - South
Median mortgage repayments,"1,300",--,Otway
Households where mortgage repayments are less than 30% of household income,--,91.7,Otway
Households with mortgage repayments greater than 30% of household income,--,8.3,Otway
Median mortgage repayments,"1,200",--,Moyne - East
Households where mortgage repayments are less than 30% of household income,--,93.7,Moyne - East
Households with mortgage repayments greater than 30% of household income,--,6.3,Moyne - East
Median mortgage repayments,"1,400",--,Moyne - West
Households where mortgage repayments are less than 30% of household income,--,92.7,Moyne - West
Households with mortgage repayments greater than 30% of household income,--,7.3,Moyne - West
Median mortgage repayments,"1,500",--,Warrnambool - North
Households where mortgage repayments are less than 30% of household income,--,94.8,Warrnambool - North
Households with mortgage repayments greater than 30% of household income,--,5.2,Warrnambool - North
Median mortgage repayments,"1,364",--,Warrnambool - South
Households where mortgage repayments are less than 30% of household income,--,95.2,Warrnambool - South
Households with mortgage repayments greater than 30% of household income,--,4.8,Warrnambool - South
Median mortgage repayments,"1,820",--,Alexandra Hills
Households where mortgage repayments are less than 30% of household income,--,91.0,Alexandra Hills
Households with mortgage repayments greater than 30% of household income,--,9.0,Alexandra Hills
Median mortgage repayments,"2,167",--,Belmont - Gumdale
Households where mortgage repayments are less than 30% of household income,--,91.3,Belmont - Gumdale
Households with mortgage repayments greater than 30% of household income,--,8.7,Belmont - Gumdale
Median mortgage repayments,"1,989",--,Birkdale
Households where mortgage repayments are less than 30% of household income,--,93.2,Birkdale
Households with mortgage repayments greater than 30% of household income,--,6.8,Birkdale
Median mortgage repayments,"1,848",--,Capalaba
Households where mortgage repayments are less than 30% of household income,--,91.3,Capalaba
Households with mortgage repayments greater than 30% of household income,--,8.7,Capalaba
Median mortgage repayments,"1,777",--,Thorneside
Households where mortgage repayments are less than 30% of household income,--,92.1,Thorneside
Households with mortgage repayments greater than 30% of household income,--,7.9,Thorneside
Median mortgage repayments,"2,000",--,Wellington Point
Households where mortgage repayments are less than 30% of household income,--,94.0,Wellington Point
Households with mortgage repayments greater than 30% of household income,--,6.0,Wellington Point
Median mortgage repayments,"1,950",--,Cleveland
Households where mortgage repayments are less than 30% of household income,--,94.9,Cleveland
Households with mortgage repayments greater than 30% of household income,--,5.1,Cleveland
Median mortgage repayments,"2,000",--,Ormiston
Households where mortgage repayments are less than 30% of household income,--,94.5,Ormiston
Households with mortgage repayments greater than 30% of household income,--,5.5,Ormiston
Median mortgage repayments,"2,167",--,Redland Bay
Households where mortgage repayments are less than 30% of household income,--,91.9,Redland Bay
Households with mortgage repayments greater than 30% of household income,--,8.1,Redland Bay
Median mortgage repayments,"2,167",--,Sheldon - Mount Cotton
Households where mortgage repayments are less than 30% of household income,--,88.8,Sheldon - Mount Cotton
Households with mortgage repayments greater than 30% of household income,--,11.2,Sheldon - Mount Cotton
Median mortgage repayments,"2,167",--,Thornlands
Households where mortgage repayments are less than 30% of household income,--,91.8,Thornlands
Households with mortgage repayments greater than 30% of household income,--,8.2,Thornlands
Median mortgage repayments,"1,950",--,Victoria Point
Households where mortgage repayments are less than 30% of household income,--,94.1,Victoria Point
Households with mortgage repayments greater than 30% of household income,--,5.9,Victoria Point
Median mortgage repayments,"1,083",--,Redland Islands
Households where mortgage repayments are less than 30% of household income,--,93.9,Redland Islands
Households with mortgage repayments greater than 30% of household income,--,6.1,Redland Islands
Median mortgage repayments,"2,100",--,Manly - Lota
Households where mortgage repayments are less than 30% of household income,--,95.2,Manly - Lota
Households with mortgage repayments greater than 30% of household income,--,4.8,Manly - Lota
Median mortgage repayments,"2,015",--,Manly West
Households where mortgage repayments are less than 30% of household income,--,94.0,Manly West
Households with mortgage repayments greater than 30% of household income,--,6.0,Manly West
Median mortgage repayments,"2,167",--,Murarrie
Households where mortgage repayments are less than 30% of household income,--,93.5,Murarrie
Households with mortgage repayments greater than 30% of household income,--,6.5,Murarrie
Median mortgage repayments,"1,900",--,Tingalpa
Households where mortgage repayments are less than 30% of household income,--,92.9,Tingalpa
Households with mortgage repayments greater than 30% of household income,--,7.1,Tingalpa
Median mortgage repayments,"2,448",--,Wakerley
Households where mortgage repayments are less than 30% of household income,--,91.9,Wakerley
Households with mortgage repayments greater than 30% of household income,--,8.1,Wakerley
Median mortgage repayments,"2,095",--,Wynnum
Households where mortgage repayments are less than 30% of household income,--,94.9,Wynnum
Households with mortgage repayments greater than 30% of household income,--,5.1,Wynnum
Median mortgage repayments,"1,950",--,Wynnum West - Hemmant
Households where mortgage repayments are less than 30% of household income,--,93.0,Wynnum West - Hemmant
Households with mortgage repayments greater than 30% of household income,--,7.0,Wynnum West - Hemmant
Median mortgage repayments,"1,733",--,Bald Hills
Households where mortgage repayments are less than 30% of household income,--,91.3,Bald Hills
Households with mortgage repayments greater than 30% of household income,--,8.7,Bald Hills
Median mortgage repayments,"2,237",--,Bridgeman Downs
Households where mortgage repayments are less than 30% of household income,--,94.9,Bridgeman Downs
Households with mortgage repayments greater than 30% of household income,--,5.1,Bridgeman Downs
Median mortgage repayments,"2,000",--,Carseldine
Households where mortgage repayments are less than 30% of household income,--,94.8,Carseldine
Households with mortgage repayments greater than 30% of household income,--,5.2,Carseldine
Median mortgage repayments,"1,950",--,Everton Park
Households where mortgage repayments are less than 30% of household income,--,95.2,Everton Park
Households with mortgage repayments greater than 30% of household income,--,4.8,Everton Park
Median mortgage repayments,"2,037",--,McDowall
Households where mortgage repayments are less than 30% of household income,--,94.6,McDowall
Households with mortgage repayments greater than 30% of household income,--,5.4,McDowall
Median mortgage repayments,"2,000",--,Aspley
Households where mortgage repayments are less than 30% of household income,--,94.1,Aspley
Households with mortgage repayments greater than 30% of household income,--,5.9,Aspley
Median mortgage repayments,"1,799",--,Chermside
Households where mortgage repayments are less than 30% of household income,--,96.9,Chermside
Households with mortgage repayments greater than 30% of household income,--,3.1,Chermside
Median mortgage repayments,"1,988",--,Chermside West
Households where mortgage repayments are less than 30% of household income,--,94.3,Chermside West
Households with mortgage repayments greater than 30% of household income,--,5.7,Chermside West
Median mortgage repayments,"1,950",--,Geebung
Households where mortgage repayments are less than 30% of household income,--,94.6,Geebung
Households with mortgage repayments greater than 30% of household income,--,5.4,Geebung
Median mortgage repayments,"2,167",--,Kedron - Gordon Park
Households where mortgage repayments are less than 30% of household income,--,95.6,Kedron - Gordon Park
Households with mortgage repayments greater than 30% of household income,--,4.4,Kedron - Gordon Park
Median mortgage repayments,"2,000",--,Stafford
Households where mortgage repayments are less than 30% of household income,--,95.5,Stafford
Households with mortgage repayments greater than 30% of household income,--,4.5,Stafford
Median mortgage repayments,"2,000",--,Stafford Heights
Households where mortgage repayments are less than 30% of household income,--,96.3,Stafford Heights
Households with mortgage repayments greater than 30% of household income,--,3.7,Stafford Heights
Median mortgage repayments,"2,200",--,Wavell Heights
Households where mortgage repayments are less than 30% of household income,--,93.8,Wavell Heights
Households with mortgage repayments greater than 30% of household income,--,6.2,Wavell Heights
Median mortgage repayments,"1,797",--,Boondall
Households where mortgage repayments are less than 30% of household income,--,92.9,Boondall
Households with mortgage repayments greater than 30% of household income,--,7.1,Boondall
Median mortgage repayments,"2,167",--,Eagle Farm - Pinkenba
Households where mortgage repayments are less than 30% of household income,--,94.9,Eagle Farm - Pinkenba
Households with mortgage repayments greater than 30% of household income,--,5.1,Eagle Farm - Pinkenba
Median mortgage repayments,"2,100",--,Northgate - Virginia
Households where mortgage repayments are less than 30% of household income,--,93.8,Northgate - Virginia
Households with mortgage repayments greater than 30% of household income,--,6.2,Northgate - Virginia
Median mortgage repayments,"2,000",--,Nudgee - Banyo
Households where mortgage repayments are less than 30% of household income,--,93.1,Nudgee - Banyo
Households with mortgage repayments greater than 30% of household income,--,6.9,Nudgee - Banyo
Median mortgage repayments,"1,820",--,Nundah
Households where mortgage repayments are less than 30% of household income,--,96.0,Nundah
Households with mortgage repayments greater than 30% of household income,--,4.0,Nundah
Median mortgage repayments,"1,810",--,Bracken Ridge
Households where mortgage repayments are less than 30% of household income,--,92.8,Bracken Ridge
Households with mortgage repayments greater than 30% of household income,--,7.2,Bracken Ridge
Median mortgage repayments,"1,950",--,Brighton (Qld)
Households where mortgage repayments are less than 30% of household income,--,94.3,Brighton (Qld)
Households with mortgage repayments greater than 30% of household income,--,5.7,Brighton (Qld)
Median mortgage repayments,"1,764",--,Deagon
Households where mortgage repayments are less than 30% of household income,--,93.9,Deagon
Households with mortgage repayments greater than 30% of household income,--,6.1,Deagon
Median mortgage repayments,"2,000",--,Sandgate - Shorncliffe
Households where mortgage repayments are less than 30% of household income,--,95.3,Sandgate - Shorncliffe
Households with mortgage repayments greater than 30% of household income,--,4.7,Sandgate - Shorncliffe
Median mortgage repayments,"1,733",--,Taigum - Fitzgibbon
Households where mortgage repayments are less than 30% of household income,--,92.3,Taigum - Fitzgibbon
Households with mortgage repayments greater than 30% of household income,--,7.7,Taigum - Fitzgibbon
Median mortgage repayments,"1,733",--,Zillmere
Households where mortgage repayments are less than 30% of household income,--,95.4,Zillmere
Households with mortgage repayments greater than 30% of household income,--,4.6,Zillmere
Median mortgage repayments,"2,258",--,Camp Hill
Households where mortgage repayments are less than 30% of household income,--,94.0,Camp Hill
Households with mortgage repayments greater than 30% of household income,--,6.0,Camp Hill
Median mortgage repayments,"2,123",--,Cannon Hill
Households where mortgage repayments are less than 30% of household income,--,94.2,Cannon Hill
Households with mortgage repayments greater than 30% of household income,--,5.8,Cannon Hill
Median mortgage repayments,"2,000",--,Carina
Households where mortgage repayments are less than 30% of household income,--,95.0,Carina
Households with mortgage repayments greater than 30% of household income,--,5.0,Carina
Median mortgage repayments,"2,000",--,Carina Heights
Households where mortgage repayments are less than 30% of household income,--,95.8,Carina Heights
Households with mortgage repayments greater than 30% of household income,--,4.2,Carina Heights
Median mortgage repayments,"2,167",--,Carindale
Households where mortgage repayments are less than 30% of household income,--,94.0,Carindale
Households with mortgage repayments greater than 30% of household income,--,6.0,Carindale
Median mortgage repayments,"2,000",--,Annerley
Households where mortgage repayments are less than 30% of household income,--,95.5,Annerley
Households with mortgage repayments greater than 30% of household income,--,4.5,Annerley
Median mortgage repayments,"2,000",--,Coorparoo
Households where mortgage repayments are less than 30% of household income,--,95.1,Coorparoo
Households with mortgage repayments greater than 30% of household income,--,4.9,Coorparoo
Median mortgage repayments,"2,004",--,Fairfield - Dutton Park
Households where mortgage repayments are less than 30% of household income,--,95.8,Fairfield - Dutton Park
Households with mortgage repayments greater than 30% of household income,--,4.2,Fairfield - Dutton Park
Median mortgage repayments,"1,997",--,Greenslopes
Households where mortgage repayments are less than 30% of household income,--,95.6,Greenslopes
Households with mortgage repayments greater than 30% of household income,--,4.4,Greenslopes
Median mortgage repayments,"2,167",--,Holland Park
Households where mortgage repayments are less than 30% of household income,--,95.0,Holland Park
Households with mortgage repayments greater than 30% of household income,--,5.0,Holland Park
Median mortgage repayments,"2,167",--,Holland Park West
Households where mortgage repayments are less than 30% of household income,--,94.3,Holland Park West
Households with mortgage repayments greater than 30% of household income,--,5.7,Holland Park West
Median mortgage repayments,"2,080",--,Woolloongabba
Households where mortgage repayments are less than 30% of household income,--,96.7,Woolloongabba
Households with mortgage repayments greater than 30% of household income,--,3.3,Woolloongabba
Median mortgage repayments,"2,000",--,Yeronga
Households where mortgage repayments are less than 30% of household income,--,95.9,Yeronga
Households with mortgage repayments greater than 30% of household income,--,4.1,Yeronga
Median mortgage repayments,"1,900",--,Eight Mile Plains
Households where mortgage repayments are less than 30% of household income,--,92.7,Eight Mile Plains
Households with mortgage repayments greater than 30% of household income,--,7.3,Eight Mile Plains
Median mortgage repayments,"1,800",--,Macgregor (Qld)
Households where mortgage repayments are less than 30% of household income,--,93.9,Macgregor (Qld)
Households with mortgage repayments greater than 30% of household income,--,6.1,Macgregor (Qld)
Median mortgage repayments,"1,950",--,Mansfield (Qld)
Households where mortgage repayments are less than 30% of household income,--,94.7,Mansfield (Qld)
Households with mortgage repayments greater than 30% of household income,--,5.3,Mansfield (Qld)
Median mortgage repayments,"2,068",--,Mount Gravatt
Households where mortgage repayments are less than 30% of household income,--,94.8,Mount Gravatt
Households with mortgage repayments greater than 30% of household income,--,5.2,Mount Gravatt
Median mortgage repayments,"2,500",--,Rochedale - Burbank
Households where mortgage repayments are less than 30% of household income,--,87.9,Rochedale - Burbank
Households with mortgage repayments greater than 30% of household income,--,12.1,Rochedale - Burbank
Median mortgage repayments,"1,960",--,Upper Mount Gravatt
Households where mortgage repayments are less than 30% of household income,--,94.0,Upper Mount Gravatt
Households with mortgage repayments greater than 30% of household income,--,6.0,Upper Mount Gravatt
Median mortgage repayments,"1,863",--,Wishart
